40
3
q w e r t y u i o p a s d f g h j k l z x c v b n m qq ww ee rr tt yy uu ii oo pp aa ss dd ff
t w e
q
x 1 3 5 5 5 5 3 1 x x 1 3 5 5 5 5 3 1 x x 1 3 5 5 5 5 3 1 x x 1 3 5 5 5 5 3 1 x
1 x 2 4 5 5 4 2 x 1 1 x 2 4 5 5 4 2 x 1 1 x 2 4 5 5 4 2 x 1 1 x 2 4 5 5 4 2 x 1
3 2 x 3 6 6 3 x 2 3 3 2 x 3 6 6 3 x 2 3 3 2 x 3 6 6 3 x 2 3 3 2 x 3 6 6 3 x 2 3
5 4 3 x 4 4 x 3 4 5 5 4 3 x 4 4 x 3 4 5 5 4 3 x 4 4 x 3 4 5 5 4 3 x 4 4 x 3 4 5
5 5 6 4 x x 4 6 5 5 5 5 6 4 x x 4 6 5 5 5 5 6 4 x x 4 6 5 5 5 5 6 4 x x 4 6 5 5
5 5 6 4 x x 4 6 5 5 5 5 6 4 x x 4 6 5 5 5 5 6 4 x x 4 6 5 5 5 5 6 4 x x 4 6 5 5
5 4 3 x 4 4 x 3 4 5 5 4 3 x 4 4 x 3 4 5 5 4 3 x 4 4 x 3 4 5 5 4 3 x 4 4 x 3 4 5
3 2 x 3 6 6 3 x 2 3 3 2 x 3 6 6 3 x 2 3 3 2 x 3 6 6 3 x 2 3 3 2 x 3 6 6 3 x 2 3
1 x 2 4 5 5 4 2 x 1 1 x 2 4 5 5 4 2 x 1 1 x 2 4 5 5 4 2 x 1 1 x 2 4 5 5 4 2 x 1
x 1 3 5 5 5 5 3 1 x x 1 3 5 5 5 5 3 1 x x 1 3 5 5 5 5 3 1 x x 1 3 5 5 5 5 3 1 x
x 1 3 5 5 5 5 3 1 x x 1 3 5 5 5 5 3 1 x x 1 3 5 5 5 5 3 1 x x 1 3 5 5 5 5 3 1 x
1 x 2 4 5 5 4 2 x 1 1 x 2 4 5 5 4 2 x 1 1 x 2 4 5 5 4 2 x 1 1 x 2 4 5 5 4 2 x 1
3 2 x 3 6 6 3 x 2 3 3 2 x 3 6 6 3 x 2 3 3 2 x 3 6 6 3 x 2 3 3 2 x 3 6 6 3 x 2 3
